,Year,Rated,Runtime,Genre,Awards,imdbRating,imdbVotes,DVD,studio_size,meta_class
317,2010,Not Rated,104,Comedy,,6.0,1284,1,small,0
318,2010,G,103,Animation,Oscar Win,8.3,711050,1,big,1
322,2010,PG-13,109,Action,Nomination,6.3,173244,1,big,0
323,2010,PG-13,81,Action,Other Win,4.7,53224,1,big,0
325,2010,R,100,Action,,6.6,785,0,small,0
328,2010,Not Rated,98,Crime,Other Win,6.0,2092,1,small,0
330,2010,PG,95,Animation,Other Win,7.6,478028,1,big,1
336,2010,PG-13,87,Horror,Other Win,5.6,46643,1,big,1
337,2010,PG-13,102,Comedy,Other Win,5.9,216150,1,big,0
347,2010,PG,103,Action,Other Win,4.1,141088,1,big,0
348,2010,R,117,Biography,Other Win,5.6,2796,1,small,0
351,2010,Not Rated,93,Comedy,Other Win,6.5,272,1,small,0
352,2010,PG-13,124,Action,Other Win,5.0,216767,1,big,0
353,2010,Not Rated,90,Drama,Other Win,6.5,116,0,small,0
359,2010,PG,109,Action,Other Win,6.1,147058,1,small,0
360,2010,R,107,Action,Other Win,6.4,203733,1,big,0
367,2010,R,124,Drama,Other Win,5.8,524,0,small,1
375,2010,PG,105,Musical,,3.2,670,1,small,0
378,2010,PG-13,100,Action,Oscar Win,6.4,283071,1,big,1
381,2010,G,103,Comedy,Other Win,6.5,16489,1,big,0
382,2010,PG,90,Comedy,Other Win,7.7,76928,1,big,0
383,2010,PG-13,112,Action,Other Win,7.5,351334,1,big,1
386,2019,PG,110,Comedy,Other Win,2.8,20921,0,small,0
387,2010,PG-13,114,Comedy,Nomination,5.9,94344,1,small,0
389,2010,PG-13,99,Drama,Nomination,6.4,56165,1,big,0
394,2010,PG-13,107,Action,Other Win,6.6,228038,1,small,1
395,2010,R,103,Action,Other Win,6.5,314149,1,big,0
396,2010,PG-13,107,Action,Other Win,6.2,54773,1,small,0
397,2010,PG-13,107,Drama,Nomination,6.2,53854,1,small,0
402,2010,PG-13,133,Drama,Other Win,5.8,81106,1,big,0
404,2010,PG-13,99,Comedy,,5.0,10193,1,big,0
408,2010,PG-13,101,Comedy,Other Win,6.1,92832,1,small,0
410,2010,PG-13,82,Comedy,Nomination,3.4,44961,1,big,0
411,2010,R,88,Comedy,Other Win,5.4,83188,1,small,0
422,2010,R,85,Action,Nomination,5.5,11701,1,small,0
424,2010,R,83,Drama,Nomination,6.6,6052,1,big,0
425,2010,R,102,Comedy,,6.3,55132,1,small,0
426,2010,R,79,Horror,,5.5,7073,1,big,0
428,2012,R,115,Drama,,7.5,71078,1,small,1
433,2010,Not Rated,120,Drama,Nomination,4.6,178,1,small,0
437,2010,R,108,Drama,Oscar Win,8.0,666279,1,small,1
438,2010,R,105,Action,Other Win,6.6,185014,1,big,0
439,2010,R,105,Crime,Nomination,6.3,88359,1,big,1
441,2010,R,96,Action,Other Win,5.8,156150,1,small,0
443,2010,PG-13,133,Adventure,Oscar Win,7.3,104370,1,small,1
446,2010,R,112,Drama,Other Win,6.2,3097,1,big,0
447,2010,R,97,Comedy,Other Win,6.3,40974,1,big,1
450,2010,PG-13,103,Biography,Other Win,7.5,4168,1,small,0
451,2010,R,113,Drama,Other Win,6.8,62200,1,big,1
453,2010,R,94,Biography,Oscar Win,7.6,332529,1,small,1
455,2010,PG,104,Drama,Other Win,6.5,10805,1,small,1
456,2010,R,108,Comedy,Other Win,6.2,19611,1,big,0
457,2010,R,118,Biography,Oscar Win,8.0,609260,1,big,1
459,2010,R,125,Crime,Oscar Win,7.5,331549,1,big,1
460,2010,PG,90,Animation,Nomination,5.2,12800,1,big,0
461,2010,PG-13,102,Biography,,5.8,399,1,small,0
462,2010,PG-13,107,Drama,Nomination,6.2,4767,1,small,0
465,2010,R,94,Drama,,4.6,7143,1,small,0
466,2010,R,105,Drama,,5.4,38966,1,small,0
467,2010,PG-13,123,Comedy,Other Win,7.4,28509,0,small,1
468,2017,R,137,Action,Oscar Win,8.1,594007,1,big,1
469,2010,R,121,Romance,Nomination,5.5,1551,1,small,0
470,2010,R,96,Action,Other Win,6.7,72188,1,small,0
471,2010,R,106,Crime,Other Win,6.9,40017,1,small,0
472,2010,R,97,Drama,Nomination,6.4,46454,1,big,1
473,2015,PG-13,96,Comedy,Other Win,6.2,101273,1,big,0
474,2010,R,86,Comedy,,4.6,3728,1,small,0
475,2010,PG-13,101,Comedy,Nomination,7.1,128886,1,big,1
476,2010,PG-13,122,Crime,Other Win,6.9,26751,1,big,0
478,2010,R,124,Action,,6.2,18568,1,small,0
479,2010,R,107,Biography,Other Win,7.2,40605,1,small,1
480,2010,PG-13,110,Comedy,Oscar Win,5.3,7199,1,small,0
481,2010,PG-13,92,Comedy,Other Win,7.1,340119,1,small,1
482,2010,R,105,Comedy,Oscar Win,7.2,84831,1,big,1
483,2010,R,90,Comedy,,6.4,10112,1,big,0
484,2010,PG-13,129,Drama,Oscar Win,6.4,88307,1,big,0
485,2010,R,97,Comedy,Other Win,7.3,81348,1,big,1
486,2010,R,92,Horror,,4.9,24285,1,small,0
487,2010,Not Rated,94,Drama,Other Win,6.4,621,1,small,0
488,2018,R,120,Biography,Other Win,7.3,39557,0,small,1
489,2010,PG-13,91,Drama,Oscar Win,7.0,45848,1,big,1
490,2010,R,116,Drama,Other Win,7.1,109453,1,small,1
491,2010,R,89,Comedy,,5.5,3968,1,big,0
492,2010,R,89,Horror,,5.6,38970,1,small,0
493,2010,R,109,Drama,Other Win,6.8,1700,1,small,0
494,2010,R,108,Comedy,,6.0,18179,1,small,0
495,2010,PG-13,103,Horror,Other Win,6.8,263191,1,small,0
496,2010,R,87,Drama,Other Win,5.2,3256,1,small,0
497,2010,R,79,Comedy,,5.6,3523,1,big,0
498,2010,R,111,Drama,,5.4,1875,0,small,0
499,2010,PG-13,80,Horror,Nomination,6.2,124470,1,big,0
504,2010,PG-13,99,Drama,Nomination,6.7,964,1,big,0
505,2010,R,98,Drama,Other Win,6.5,39300,1,small,1
506,2010,Not Rated,114,Biography,Nomination,6.7,2043,1,big,0
508,2010,R,93,Drama,Nomination,6.6,45394,1,big,0
509,2010,Not Rated,80,Drama,Other Win,5.9,677,1,big,1
510,2015,R,104,Action,,5.1,5668,1,small,0
513,2010,PG,97,Animation,Other Win,6.9,75164,1,big,0
514,2010,PG,105,Comedy,Other Win,5.8,47393,1,small,0
515,2016,PG-13,118,Comedy,Other Win,5.7,30082,1,big,0
516,2010,PG-13,101,Drama,Nomination,6.4,2566,1,small,0
517,2010,PG-13,120,Biography,Oscar Win,7.7,584673,1,small,1
525,2010,PG-13,111,Action,Other Win,7.0,276981,1,big,0
527,2010,PG,123,Biography,Other Win,7.2,25101,1,big,1
538,2010,PG-13,114,Comedy,Nomination,6.5,115987,1,big,0
545,2010,R,107,Horror,Nomination,4.8,18892,1,big,0
546,2010,R,111,Drama,,5.7,1491,1,small,0
547,2010,PG-13,96,Comedy,Nomination,5.4,3868,1,big,0
552,2010,Not Rated,89,Drama,Other Win,6.8,461,0,small,1
558,2010,Not Rated,78,Documentary,Other Win,7.6,3291,1,small,0
565,2010,R,91,Adventure,,5.3,14481,1,small,1
568,2010,R,93,Comedy,,4.9,1347,1,small,0
574,2010,R,91,Horror,Other Win,5.6,95242,1,big,0
577,2010,R,98,Drama,,4.6,380,1,small,0
580,2010,R,90,Horror,Nomination,5.6,85918,1,big,0
581,2010,PG-13,100,Action,,5.2,2315,1,small,0
582,2010,Not Rated,80,Comedy,,4.5,483,1,small,0
589,2010,PG-13,98,Action,Oscar Win,6.8,176668,1,big,1
591,2010,PG,95,Animation,Other Win,7.2,214641,1,small,1
595,2011,R,102,Horror,Other Win,6.5,61194,1,small,0
599,2010,R,95,Comedy,Nomination,6.5,310918,1,big,0
606,2010,R,101,Action,,5.4,6703,1,big,0
608,2015,Not Rated,135,Drama,Other Win,6.1,39737,1,small,0
609,2010,R,101,Crime,Nomination,6.3,50683,1,big,0
610,2010,R,133,Drama,Other Win,6.1,6854,1,big,0
611,2010,R,99,Fantasy,Nomination,5.6,45252,1,small,0
614,2010,PG-13,117,Drama,Oscar Win,6.3,16578,1,small,0
617,2010,PG-13,133,Action,Nomination,7.4,173061,1,big,0
621,2010,PG-13,107,Comedy,Other Win,6.5,69429,1,small,0
622,2010,PG-13,146,Adventure,Oscar Win,7.7,443700,1,big,1
623,2010,PG-13,92,Action,Nomination,4.4,84643,1,small,0
625,2017,R,90,Horror,,6.0,11658,0,small,0
631,2010,PG,100,Animation,Oscar Win,7.7,380016,1,big,1
632,2010,PG-13,119,Drama,Other Win,6.4,73911,1,small,0
633,2010,R,98,Action,Nomination,6.4,95726,1,small,0
634,2010,R,103,Crime,Nomination,6.2,45161,1,big,0
641,2010,PG,113,Adventure,Other Win,6.3,133317,1,big,0
644,2010,R,116,Biography,Oscar Win,7.8,324056,1,big,1
645,2010,PG-13,103,Action,Other Win,6.0,211569,1,small,0
649,2010,PG,80,Animation,Other Win,4.6,19425,1,big,0
651,2010,PG-13,121,Comedy,Nomination,5.4,42167,1,small,0
652,2010,PG-13,110,Drama,Oscar Win,7.6,291695,1,big,1
658,2010,PG-13,98,Comedy,Other Win,5.5,101812,1,big,0
660,2010,PG,85,Adventure,Nomination,4.9,62733,1,big,0
669,2010,PG-13,107,Action,Nomination,5.1,14288,1,small,0
673,2013,R,101,Crime,Other Win,6.9,106511,1,big,1
736,2011,PG-13,95,Action,Nomination,5.4,87391,1,big,0
739,2011,R,93,Drama,,5.9,1002,1,small,0
748,2011,R,108,Comedy,Other Win,6.2,202612,1,big,0
749,2011,PG-13,119,Action,Other Win,5.8,150784,1,big,0
751,2011,R,93,Action,Nomination,6.6,144710,1,small,0
752,2011,PG-13,111,Comedy,Nomination,5.3,49565,1,big,0
755,2011,PG-13,107,Comedy,Other Win,5.5,13821,1,big,0
760,2011,R,86,Drama,Other Win,7.2,5605,1,big,1
761,2011,PG,105,Drama,Nomination,7.5,7439,1,big,0
762,2011,R,91,Drama,Other Win,6.2,7762,1,big,1
763,2011,R,106,Action,Other Win,6.4,7406,1,small,1
764,2011,R,102,Drama,Other Win,6.9,46702,1,small,1
765,2011,R,101,Drama,Nomination,6.5,18063,1,big,0
766,2011,R,106,Comedy,Other Win,7.1,52018,1,small,1
767,2011,R,96,Drama,Other Win,6.3,917,1,small,0
768,2011,R,86,Drama,Other Win,5.2,21141,1,big,0
772,2011,R,90,Comedy,,6.4,81754,1,big,0
774,2011,R,105,Comedy,Nomination,6.5,9217,1,small,1
775,2011,PG-13,86,Drama,Other Win,6.7,56845,1,big,1
776,2011,Not Rated,75,Comedy,Nomination,5.7,614,1,big,0
777,2011,G,84,Animation,Other Win,5.9,50428,1,small,0
778,2011,R,88,Action,Other Win,6.2,60207,1,small,0
779,2011,R,87,Comedy,Other Win,6.2,35124,1,small,1
780,2011,R,109,Drama,Other Win,6.2,2888,1,big,1
781,2011,R,94,Drama,Other Win,6.1,4634,1,small,0
782,2011,PG-13,83,Drama,Other Win,6.6,54647,1,small,0
783,2011,R,101,Horror,Other Win,6.0,20739,1,small,0
784,2011,R,119,Comedy,Other Win,6.1,3881,1,small,0
785,2011,Not Rated,80,Comedy,Nomination,5.9,526,1,small,0
786,2011,Not Rated,83,Drama,Other Win,6.4,685,1,small,1
788,2011,R,96,Action,,5.3,4255,1,big,0
789,2011,PG-13,92,Drama,Other Win,7.0,87349,1,small,1
790,2011,Not Rated,100,Drama,Other Win,6.7,417,1,small,1
791,2011,R,120,Drama,Other Win,7.4,85830,1,big,1
792,2011,Not Rated,81,Horror,Other Win,4.2,601,0,small,0
794,2011,R,85,Drama,Other Win,6.6,19815,1,big,1
797,2011,R,93,Comedy,,6.2,4487,1,small,0
798,2011,R,107,Drama,Oscar Win,7.1,109924,1,big,1
